Location,Site Name,Province_code,Description,Base Price,FET,Provincial Taxes,Price Ex GST/HST,GST/HST(%),PST(%),Tot Cust Price,Effective Date
1171,CALGARY HUSKY T,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.52142,.1,.1963,.81772,.04089,0,.85861,10/29/20
1171,CALGARY HUSKY T,AB,DIESEL 2 ULSD (LED),.547,.04,.2105,.7975,.03988,0,.83738,10/29/20
1171,CALGARY HUSKY T,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.48142,.1,.1963,.77772,.03889,0,.81661,10/29/20
1171,CALGARY HUSKY T,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.59142,.1,.1963,.88772,.04439,0,.93211,10/29/20
1171,CALGARY HUSKY T,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
1225,DEADMAN'S FLATS,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.52785,.1,.1963,.82415,.04121,0,.86536,10/29/20
1225,DEADMAN'S FLATS,AB,ETHANOL UNLEADED PREMIUM (90 OR 91 OCTANE),.59785,.1,.1963,.89415,.04471,0,.93886,10/29/20
1225,DEADMAN'S FLATS,AB,DIESEL 2 ULSD (LED),.55471,.04,.2105,.80521,.04026,0,.84547,10/29/20
1225,DEADMAN'S FLATS,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.48785,.1,.1963,.78415,.03921,0,.82336,10/29/20
2510,DRAYTON VALLEY ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.473,.1,.1963,.7693,.03847,0,.80777,10/29/20
2510,DRAYTON VALLEY ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.53,.04,.1205,.6905,.03453,0,.72503,10/29/20
2510,DRAYTON VALLEY ,AB,DIESEL 2 ULSD (LED),.53,.04,.2105,.7805,.03903,0,.81953,10/29/20
2510,DRAYTON VALLEY ,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.473,.1,.1963,.7693,.03847,0,.80777,10/29/20
2823,EDMONTON W HUSK,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.49863,.1,.1963,.79493,.03975,0,.83468,10/29/20
2823,EDMONTON W HUSK,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.45863,.1,.1963,.75493,.03775,0,.79268,10/29/20
2823,EDMONTON W HUSK,AB,DIESEL 2 ULSD (LED),.51642,.04,.2105,.76692,.03835,0,.80527,10/29/20
2823,EDMONTON W HUSK,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
2823,EDMONTON W HUSK,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.56863,.1,.1963,.86493,.04325,0,.90818,10/29/20
3490,GRAND PRAIRIE H,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.59764,.1,.1963,.89394,.0447,0,.93864,10/29/20
3490,GRAND PRAIRIE H,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.52764,.1,.1963,.82394,.0412,0,.86514,10/29/20
3490,GRAND PRAIRIE H,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.48764,.1,.1963,.78394,.0392,0,.82314,10/29/20
3490,GRAND PRAIRIE H,AB,DIESEL 2 ULSD (LED),.55016,.04,.2105,.80066,.04003,0,.84069,10/29/20
3522,RYCROFT HUSKY  ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.60238,.1,.1963,.89868,.04493,0,.94361,10/29/20
3522,RYCROFT HUSKY  ,AB,DIESEL 2 ULSD (LED),.55568,.04,.2105,.80618,.04031,0,.84649,10/29/20
3522,RYCROFT HUSKY  ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.49238,.1,.1963,.78868,.03943,0,.82811,10/29/20
3522,RYCROFT HUSKY  ,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.53238,.1,.1963,.82868,.04143,0,.87011,10/29/20
3540,GRASSLAND TC   ,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.50943,.1,.1963,.80573,.04029,0,.84602,10/29/20
3540,GRASSLAND TC   ,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
3540,GRASSLAND TC   ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.46943,.1,.1963,.76573,.03829,0,.80402,10/29/20
3540,GRASSLAND TC   ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.52906,.04,.1205,.68956,.03448,0,.72404,10/29/20
3540,GRASSLAND TC   ,AB,DIESEL 2 ULSD (LED),.52906,.04,.2105,.77956,.03898,0,.81854,10/29/20
3540,GRASSLAND TC   ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.57943,.1,.1963,.87573,.04379,0,.91952,10/29/20
3542,GRASSLAND PROSV,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.533,.04,.1205,.6935,.03468,0,.72818,10/29/20
3542,GRASSLAND PROSV,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4731,.1,.1963,.7694,.03847,0,.80787,10/29/20
3542,GRASSLAND PROSV,AB,DIESEL 2 ULSD (LED),.533,.04,.2105,.7835,.03918,0,.82268,10/29/20
3597,MANNING ESSO CL,AB,DIESEL 2 ULSD (LED),.5754,.04,.2105,.8259,.0413,0,.8672,10/29/20
3597,MANNING ESSO CL,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.5184,.1,.1963,.8147,.04074,0,.85544,10/29/20
3597,MANNING ESSO CL,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.5184,.1,.1963,.8147,.04074,0,.85544,10/29/20
3598,BASSANO ESSO CL,AB,DIESEL 2 ULSD (LED),.5661,.04,.2105,.8166,.04083,0,.85743,10/29/20
3599,HYTHE ESSO CL  ,AB,DIESEL 2 ULSD (LED),.5495,.04,.2105,.8,.04,0,.84,10/29/20
3599,HYTHE ESSO CL  ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.5495,.04,.1205,.71,.0355,0,.7455,10/29/20
3599,HYTHE ESSO CL  ,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.4925,.1,.1063,.6988,.03494,0,.73374,10/29/20
3599,HYTHE ESSO CL  ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4925,.1,.1963,.7888,.03944,0,.82824,10/29/20
3600,15TH AVE ESSO C,AB,DIESEL 2 ULSD (LED),.531,.04,.2105,.7815,.03908,0,.82058,10/29/20
3600,15TH AVE ESSO C,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.531,.04,.1205,.6915,.03458,0,.72608,10/29/20
3600,15TH AVE ESSO C,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.474,.1,.1963,.7703,.03852,0,.80882,10/29/20
3601,COLD LAKE ESSO ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.5208,.1,.1963,.8171,.04086,0,.85796,10/29/20
3601,COLD LAKE ESSO ,AB,DIESEL 2 ULSD (LED),.5778,.04,.2105,.8283,.04142,0,.86972,10/29/20
3602,HINTON ESSO CL ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.53729,.04,.1205,.69779,.03489,0,.73268,10/29/20
3602,HINTON ESSO CL ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47653,.1,.1963,.77283,.03864,0,.81147,10/29/20
3602,HINTON ESSO CL ,AB,DIESEL 2 ULSD (LED),.53729,.04,.2105,.78779,.03939,0,.82718,10/29/20
3603,LAC LA BICHE ES,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.474,.1,.1063,.6803,.03402,0,.71432,10/29/20
3603,LAC LA BICHE ES,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.474,.1,.1963,.7703,.03852,0,.80882,10/29/20
3603,LAC LA BICHE ES,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.531,.04,.1205,.6915,.03458,0,.72608,10/29/20
3603,LAC LA BICHE ES,AB,DIESEL 2 ULSD (LED),.531,.04,.2105,.7815,.03908,0,.82058,10/29/20
3604,OKOTOKS ESSO CL,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.55143,.04,.1205,.71193,.0356,0,.74753,10/29/20
3604,OKOTOKS ESSO CL,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.488,.1,.1963,.7843,.03922,0,.82352,10/29/20
3604,OKOTOKS ESSO CL,AB,DIESEL 2 ULSD (LED),.55143,.04,.2105,.80193,.0401,0,.84203,10/29/20
3605,RED DEER ESSO C,AB,DIESEL 2 ULSD (LED),.5213,.04,.2105,.7718,.03859,0,.81039,10/29/20
3605,RED DEER ESSO C,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.5213,.04,.1205,.6818,.03409,0,.71589,10/29/20
3605,RED DEER ESSO C,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4643,.1,.1963,.7606,.03803,0,.79863,10/29/20
3606,REDCLIFF ESSO C,AB,DIESEL 2 ULSD (LED),.567,.04,.2105,.8175,.04088,0,.85838,10/29/20
3607,167 ST ESSO CL ,AB,DIESEL 2 ULSD (LED),.51505,.04,.2105,.76555,.03828,0,.80383,10/29/20
3607,167 ST ESSO CL ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.45805,.1,.1963,.75435,.03772,0,.79207,10/29/20
3608,VIKING ESSO CL ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.5275,.04,.1205,.688,.0344,0,.7224,10/29/20
3608,VIKING ESSO CL ,AB,DIESEL 2 ULSD (LED),.5275,.04,.2105,.778,.0389,0,.8169,10/29/20
3608,VIKING ESSO CL ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4705,.1,.1963,.7668,.03834,0,.80514,10/29/20
3609,MACKAY CRES ESS,AB,DIESEL 2 ULSD (LED),.5394,.04,.2105,.7899,.0395,0,.8294,10/29/20
3609,MACKAY CRES ESS,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.5394,.04,.1205,.6999,.035,0,.7349,10/29/20
3609,MACKAY CRES ESS,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4824,.1,.1963,.7787,.03894,0,.81764,10/29/20
3639,RED EARTH ESSO ,AB,DIESEL 2 ULSD (LED),.5425,.04,.2105,.793,.03965,0,.83265,10/29/20
3647,BEARSPAW ESSO C,AB,DIESEL 2 ULSD (LED),.55529,.04,.2105,.80579,.04029,0,.84608,10/29/20
3647,BEARSPAW ESSO C,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
3649,109 ST ESSO CL ,AB,DIESEL 2 ULSD (LED),.555,.04,.2105,.8055,.04028,0,.84578,10/29/20
3649,109 ST ESSO CL ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.498,.1,.1963,.7943,.03972,0,.83402,10/29/20
3672,BOYLE ESSO CL  ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.533,.04,.1205,.6935,.03468,0,.72818,10/29/20
3672,BOYLE ESSO CL  ,AB,DIESEL 2 ULSD (LED),.533,.04,.2105,.7835,.03918,0,.82268,10/29/20
3672,BOYLE ESSO CL  ,AB,DIESEL EXHAUST FLUID PUMP,.7619,,0,.7619,.0381,0,.8,10/29/20
3672,BOYLE ESSO CL  ,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.5131,.1,.1963,.8094,.04047,0,.84987,10/29/20
3672,BOYLE ESSO CL  ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4731,.1,.1963,.7694,.03847,0,.80787,10/29/20
3672,BOYLE ESSO CL  ,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.4731,.1,.1063,.6794,.03397,0,.71337,10/29/20
3672,BOYLE ESSO CL  ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.5831,.1,.1963,.8794,.04397,0,.92337,10/29/20
3700,PROSVITA PORTAB,AB,DIESEL 2 ULSD (LED),.533,.04,.2105,.7835,.03918,0,.82268,10/29/20
3700,PROSVITA PORTAB,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.533,.04,.1205,.6935,.03468,0,.72818,10/29/20
3700,PROSVITA PORTAB,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
3700,PROSVITA PORTAB,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.4731,.1,.1063,.6794,.03397,0,.71337,10/29/20
3700,PROSVITA PORTAB,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.4731,.1,.1963,.7694,.03847,0,.80787,10/29/20
3980,HINTON HUSKY TC,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.51544,.1,.1963,.81174,.04059,0,.85233,10/29/20
3980,HINTON HUSKY TC,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.58544,.1,.1963,.88174,.04409,0,.92583,10/29/20
3980,HINTON HUSKY TC,AB,DIESEL 2 ULSD (LED),.53558,.04,.2105,.78608,.0393,0,.82538,10/29/20
3980,HINTON HUSKY TC,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47544,.1,.1963,.77174,.03859,0,.81033,10/29/20
4002,EDSON BP       ,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.513,.1,.1963,.8093,.04047,0,.84977,10/29/20
4002,EDSON BP       ,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.473,.1,.1063,.6793,.03397,0,.71327,10/29/20
4002,EDSON BP       ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.473,.1,.1963,.7693,.03847,0,.80777,10/29/20
4002,EDSON BP       ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.53453,.04,.1205,.69503,.03475,0,.72978,10/29/20
4002,EDSON BP       ,AB,DIESEL 2 ULSD (LED),.53453,.04,.2105,.78503,.03925,0,.82428,10/29/20
4002,EDSON BP       ,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.473,.1,.1963,.7693,.03847,0,.80777,10/29/20
4002,EDSON BP       ,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.513,.1,.1963,.8093,.04047,0,.84977,10/29/20
4002,EDSON BP       ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.583,.1,.1963,.8793,.04397,0,.92327,10/29/20
4193,EASTLAKE INDUST,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.54613,.04,.1205,.70663,.03533,0,.74196,10/29/20
4193,EASTLAKE INDUST,AB,DIESEL 2 ULSD (LED),.54613,.04,.2105,.79663,.03983,0,.83646,10/29/20
4193,EASTLAKE INDUST,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.48064,.1,.1963,.77694,.03885,0,.81579,10/29/20
4193,EASTLAKE INDUST,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.52064,.1,.1963,.81694,.04085,0,.85779,10/29/20
4193,EASTLAKE INDUST,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.59064,.1,.1963,.88694,.04435,0,.93129,10/29/20
4193,EASTLAKE INDUST,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
4222,CALGARY WRANGLE,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.482,.1,.1963,.7783,.03892,0,.81722,10/29/20
4222,CALGARY WRANGLE,AB,DIESEL 2 ULSD (LED),.547,.04,.2105,.7975,.03988,0,.83738,10/29/20
4222,CALGARY WRANGLE,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.547,.04,.1205,.7075,.03538,0,.74288,10/29/20
4222,CALGARY WRANGLE,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
4223,CALGARY WRANGLE,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.547,.04,.1205,.7075,.03538,0,.74288,10/29/20
4223,CALGARY WRANGLE,AB,DIESEL 2 ULSD (LED),.547,.04,.2105,.7975,.03988,0,.83738,10/29/20
4303,MERIDIAN HUSKY ,AB,DIESEL 2 ULSD (LED),.547,.04,.2105,.7975,.03988,0,.83738,10/29/20
4303,MERIDIAN HUSKY ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.547,.04,.1205,.7075,.03538,0,.74288,10/29/20
4303,MERIDIAN HUSKY ,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.48142,.1,.1963,.77772,.03889,0,.81661,10/29/20
4303,MERIDIAN HUSKY ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.59142,.1,.1963,.88772,.04439,0,.93211,10/29/20
4303,MERIDIAN HUSKY ,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.52142,.1,.1963,.81772,.04089,0,.85861,10/29/20
4304,CALGARY 52 ST C,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.482,.1,.1963,.7783,.03892,0,.81722,10/29/20
4304,CALGARY 52 ST C,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.592,.1,.1963,.8883,.04442,0,.93272,10/29/20
4304,CALGARY 52 ST C,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.522,.1,.1963,.8183,.04092,0,.85922,10/29/20
4304,CALGARY 52 ST C,AB,DIESEL 2 ULSD (LED),.547,.04,.2105,.7975,.03988,0,.83738,10/29/20
4304,CALGARY 52 ST C,AB,UNLEADED PREMIUM 90/91 DYED (NON TAX),.592,.1,.1063,.7983,.03992,0,.83822,10/29/20
4304,CALGARY 52 ST C,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.547,.04,.1205,.7075,.03538,0,.74288,10/29/20
4304,CALGARY 52 ST C,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
4304,CALGARY 52 ST C,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.482,.1,.1063,.6883,.03442,0,.72272,10/29/20
4791,LLOYDMINSTER CL,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.5295,.04,.1205,.69,.0345,0,.7245,10/29/20
4791,LLOYDMINSTER CL,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.46951,.1,.1963,.76581,.03829,0,.8041,10/29/20
4791,LLOYDMINSTER CL,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.46951,.1,.1063,.67581,.03379,0,.7096,10/29/20
4791,LLOYDMINSTER CL,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.50951,.1,.1963,.80581,.04029,0,.8461,10/29/20
4791,LLOYDMINSTER CL,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
4791,LLOYDMINSTER CL,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.57951,.1,.1963,.87581,.04379,0,.9196,10/29/20
4791,LLOYDMINSTER CL,AB,DIESEL 2 ULSD (LED),.5295,.04,.2105,.78,.039,0,.819,10/29/20
4791,LLOYDMINSTER CL,AB,UNLEADED PREMIUM 90/91 DYED (NON TAX),.57951,.1,.1063,.78581,.03929,0,.8251,10/29/20
4794,LLOYDMINSTER HU,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.57712,.1,.1963,.87342,.04367,0,.91709,10/29/20
4794,LLOYDMINSTER HU,AB,DIESEL 2 ULSD (LED),.52636,.04,.2105,.77686,.03884,0,.8157,10/29/20
4794,LLOYDMINSTER HU,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.46712,.1,.1963,.76342,.03817,0,.80159,10/29/20
4794,LLOYDMINSTER HU,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
4794,LLOYDMINSTER HU,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.50712,.1,.1963,.80342,.04017,0,.84359,10/29/20
5032,NISKU HUSKY TS ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.45943,.1,.1963,.75573,.03779,0,.79352,10/29/20
5032,NISKU HUSKY TS ,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.56943,.1,.1963,.86573,.04329,0,.90902,10/29/20
5032,NISKU HUSKY TS ,AB,DIESEL 2 ULSD (LED),.51747,.04,.2105,.76797,.0384,0,.80637,10/29/20
5032,NISKU HUSKY TS ,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.49943,.1,.1963,.79573,.03979,0,.83552,10/29/20
5032,NISKU HUSKY TS ,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
5051,W EDMONTON INDU,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.45836,.1,.1963,.75466,.03773,0,.79239,10/29/20
5051,W EDMONTON INDU,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.49836,.1,.1963,.79466,.03973,0,.83439,10/29/20
5051,W EDMONTON INDU,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.56836,.1,.1963,.86466,.04323,0,.90789,10/29/20
5051,W EDMONTON INDU,AB,DIESEL 2 ULSD (LED),.51622,.04,.2105,.76672,.03834,0,.80506,10/29/20
5200,RED DEER BP L&R,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.529,.04,.1205,.6895,.03448,0,.72398,10/29/20
5200,RED DEER BP L&R,AB,DIESEL 2 ULSD (LED),.529,.04,.2105,.7795,.03898,0,.81848,10/29/20
5200,RED DEER BP L&R,AB,ETHANOL UNLEADED PREMIUM (90 OR 91 OCTANE),.582,.1,.1963,.8783,.04392,0,.92222,10/29/20
5200,RED DEER BP L&R,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.582,.1,.1963,.8783,.04392,0,.92222,10/29/20
5200,RED DEER BP L&R,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.472,.1,.1963,.7683,.03842,0,.80672,10/29/20
5200,RED DEER BP L&R,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.512,.1,.1963,.8083,.04042,0,.84872,10/29/20
5200,RED DEER BP L&R,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.472,.1,.1063,.6783,.03392,0,.71222,10/29/20
5204,BLACKFALDS CL  ,AB,DIESEL 2 ULSD (LED),.529,.04,.2105,.7795,.03898,0,.81848,10/29/20
5204,BLACKFALDS CL  ,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.472,.1,.1963,.7683,.03842,0,.80672,10/29/20
5229,MED HAT HUSKY T,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.49591,.1,.1963,.79221,.03961,0,.83182,10/29/20
5229,MED HAT HUSKY T,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.60591,.1,.1963,.90221,.04511,0,.94732,10/29/20
5229,MED HAT HUSKY T,AB,UNLEADED MID GRADE (88 OR 89 OCTANE),.53591,.1,.1963,.83221,.04161,0,.87382,10/29/20
5229,MED HAT HUSKY T,AB,DIESEL 2 ULSD (LED),.564,.04,.2105,.8145,.04073,0,.85523,10/29/20
5299,LETHBRIDGE CL  ,AB,DIESEL 2 ULSD (LED),.562,.04,.2105,.8125,.04063,0,.85313,10/29/20
5299,LETHBRIDGE CL  ,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.562,.04,.1205,.7225,.03613,0,.75863,10/29/20
5299,LETHBRIDGE CL  ,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.497,.1,.1963,.7933,.03967,0,.83297,10/29/20
6711,RAINBOW LAKE CL,AB,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.584,.1,.1963,.8803,.04402,0,.92432,10/29/20
6711,RAINBOW LAKE CL,AB,UNLEADED REG W/ETHANOL 86/87 DYED (NON TAX),.544,.1,.1063,.7503,.03752,0,.78782,10/29/20
6711,RAINBOW LAKE CL,AB,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.601,.04,.1205,.7615,.03808,0,.79958,10/29/20
6711,RAINBOW LAKE CL,AB,DIESEL 2 ULSD (LED),.601,.04,.2105,.8515,.04258,0,.89408,10/29/20
6711,RAINBOW LAKE CL,AB,UNLEADED PREMIUM (90 OR 91 OCTANE),.654,.1,.1963,.9503,.04752,0,.99782,10/29/20
6711,RAINBOW LAKE CL,AB,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.544,.1,.1963,.8403,.04202,0,.88232,10/29/20
734,EDMONTON SE    ,AB,DIESEL EXHAUST FLUID PUMP,.76095,,0,.76095,.03805,0,.799,10/29/20
734,EDMONTON SE    ,AB,UNLEADED REGULAR (86 OR 87 OCTANE),.456,.1,.1963,.7523,.03762,0,.78992,10/29/20
